usuario_id,livro_id,data_emprestimo,data_devolucao,data_devolucao_real,status
267,1332,2020-01-14,2024-06-07,2023-12-02,atrasado
1353,519,2023-02-16,2024-09-17,2023-11-12,concluido
1302,570,2021-02-01,2024-03-02,2024-08-18,concluido
810,1603,2023-06-17,2023-12-12,2024-07-27,concluido
544,444,2023-06-14,2024-06-20,2024-08-05,atrasado
1119,870,2021-09-18,2024-07-23,,concluido
61,179,2020-09-19,2024-04-04,2024-09-11,pendente
1235,1764,2020-11-04,2024-05-18,,pendente
915,1663,2021-06-23,2024-07-06,2024-07-29,pendente
545,1725,2021-04-21,2024-05-16,,concluido
621,1636,2020-06-14,2024-01-11,,atrasado
1130,1919,2023-07-26,2024-08-02,,atrasado
1656,1219,2020-11-12,2024-10-11,2024-02-07,atrasado
197,1114,2023-08-31,2024-09-03,,pendente
1965,1590,2020-02-17,2024-01-06,2024-09-21,concluido
669,1759,2022-02-13,2024-04-23,2024-09-17,pendente
1422,162,2023-08-16,2024-04-26,,concluido
1916,1381,2021-01-25,2024-04-17,2024-03-08,pendente
1510,326,2021-06-02,2024-03-23,,concluido
1851,555,2020-03-24,2024-04-04,2024-06-13,atrasado
21,876,2021-10-29,2024-06-22,2024-06-25,pendente
1756,1153,2022-11-04,2024-04-07,2023-12-22,pendente
1431,1613,2022-07-22,2024-04-25,,concluido
1802,724,2022-04-27,2024-01-06,2024-01-30,pendente
9,1176,2023-01-18,2024-05-30,2024-07-23,concluido
703,1845,2022-03-29,2024-02-16,2024-08-11,atrasado
1454,287,2023-02-18,2024-09-01,,atrasado
1825,1736,2020-03-27,2024-10-11,,atrasado
1200,1322,2023-10-05,2024-08-14,,concluido
1804,998,2020-08-05,2024-07-02,2024-04-13,atrasado
883,550,2022-06-23,2024-01-22,,atrasado
152,981,2023-07-27,2024-03-17,2024-05-23,pendente
105,592,2021-10-23,2024-01-03,2024-09-08,pendente
399,1440,2022-07-14,2023-11-03,,pendente
1763,1369,2021-06-27,2023-12-01,,pendente
1607,1477,2022-06-10,2023-12-27,,pendente
1495,1729,2022-03-03,2023-12-31,,pendente
265,1938,2021-11-13,2024-08-15,2024-04-09,atrasado
476,1357,2020-04-16,2024-08-29,,concluido
1954,1277,2021-06-27,2024-04-18,,concluido
901,1171,2021-08-21,2024-07-09,,concluido
1543,373,2020-11-23,2024-08-10,2024-08-17,concluido
164,365,2022-06-14,2023-12-18,,concluido
1662,1033,2022-11-05,2024-03-10,,pendente
1064,1578,2020-03-25,2023-12-01,,concluido
1196,598,2021-06-30,2024-08-05,2024-06-27,atrasado
237,696,2023-08-26,2024-09-16,,concluido
200,303,2021-12-15,2024-10-02,,pendente
293,1490,2022-07-29,2024-10-17,2024-02-20,atrasado
1289,1422,2022-12-14,2023-12-18,2024-07-23,concluido
432,27,2020-03-21,2024-08-03,,concluido
1174,1494,2020-05-08,2023-11-02,2024-09-05,pendente
